locus_tag	ftype	gene	EC_number	product
LFT_00466	CDS			hypothetical protein
LFT_00467	CDS			hypothetical protein
LFT_00468	CDS	rfaF_1	2.-.-.-	ADP-heptose--LPS heptosyltransferase 2
LFT_00469	CDS	degU		Transcriptional regulatory protein DegU
LFT_00470	CDS	cusS	2.7.13.3	Sensor kinase CusS
LFT_00471	CDS	yhdG_1		putative amino acid permease YhdG
LFT_00472	CDS			hypothetical protein
LFT_00473	CDS			hypothetical protein
LFT_00474	CDS	kdpC		Potassium-transporting ATPase KdpC subunit
LFT_00475	CDS	kdpA		Potassium-transporting ATPase potassium-binding subunit
LFT_00476	CDS	kdpB	3.6.3.12	Potassium-transporting ATPase ATP-binding subunit
LFT_00477	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00478	CDS			hypothetical protein
LFT_00479	CDS			hypothetical protein
LFT_00480	CDS			hypothetical protein
LFT_00481	CDS	kdpD_1	2.7.13.3	Sensor protein KdpD
LFT_00482	CDS	kdpD_2	2.7.13.3	Sensor protein KdpD
LFT_00483	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00484	CDS			hypothetical protein
LFT_00485	CDS	garR	1.1.1.60	2-hydroxy-3-oxopropionate reductase
LFT_00486	CDS	bcp_2	1.11.1.15	Putative peroxiredoxin bcp
	sig_peptide			putative signal peptide
LFT_00487	CDS	yfeX	1.11.1.-	putative deferrochelatase/peroxidase YfeX
LFT_00488	CDS			hypothetical protein
LFT_00489	CDS	glpC		Anaerobic glycerol-3-phosphate dehydrogenase subunit C
LFT_00490	CDS			hypothetical protein
LFT_00491	CDS	iscS_2	2.8.1.7	IscS-like cysteine desulfurase
LFT_00492	CDS			3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
LFT_00493	CDS			hypothetical protein
LFT_00494	tRNA			tRNA-Leu(cag)
LFT_00495	tRNA			tRNA-Arg(tct)
LFT_00496	CDS			hypothetical protein
LFT_00497	CDS			hypothetical protein
LFT_00498	CDS			hypothetical protein
LFT_00499	CDS			hypothetical protein
LFT_00500	CDS			hypothetical protein
LFT_00501	CDS	msrA	1.8.4.11	Peptide methionine sulfoxide reductase MsrA
LFT_00502	CDS			hypothetical protein
LFT_00503	CDS			putative signaling protein
LFT_00504	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00505	CDS			hypothetical protein
LFT_00506	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00507	CDS			hypothetical protein
LFT_00508	tRNA			tRNA-Lys(ttt)
LFT_00509	CDS			hypothetical protein
LFT_00510	CDS	leuD1	4.2.1.33	3-isopropylmalate dehydratase small subunit 1
LFT_00511	CDS	leuC	4.2.1.33	3-isopropylmalate dehydratase large subunit
LFT_00512	CDS	rffG	4.2.1.46	dTDP-glucose 4,6-dehydratase 2
LFT_00513	CDS	rfbA	2.7.7.24	Glucose-1-phosphate thymidylyltransferase 1
LFT_00514	CDS	rfbC	5.1.3.13	dTDP-4-dehydrorhamnose 3,5-epimerase
LFT_00515	CDS	proP_2		Proline/betaine transporter
LFT_00516	CDS	esiB_1		Secretory immunoglobulin A-binding protein EsiB
LFT_00517	CDS			putative signaling protein
LFT_00518	CDS			hypothetical protein
LFT_00519	CDS	gadB	4.1.1.15	Glutamate decarboxylase
LFT_00520	CDS	treZ	3.2.1.141	Malto-oligosyltrehalose trehalohydrolase
LFT_00521	CDS	treY	5.4.99.15	Maltooligosyl trehalose synthase
LFT_00522	CDS	treS_1	3.2.1.1	Trehalose synthase/amylase TreS
LFT_00523	CDS	treS_2	3.2.1.1	Trehalose synthase/amylase TreS
LFT_00524	CDS			hypothetical protein
LFT_00525	CDS			putative signaling protein
LFT_00526	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00527	CDS	pleD_1		Response regulator PleD
LFT_00528	CDS			hypothetical protein
LFT_00529	CDS	glgE1	2.4.99.16	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1
LFT_00530	CDS	mak1	2.7.1.175	Maltokinase
LFT_00531	CDS	adhc1	1.1.1.2	NADP-dependent alcohol dehydrogenase C 1
LFT_00532	CDS			hypothetical protein
LFT_00533	CDS			hypothetical protein
LFT_00534	CDS			hypothetical protein
LFT_00535	CDS			putative signaling protein
LFT_00536	CDS			hypothetical protein
LFT_00537	CDS			hypothetical protein
LFT_00538	CDS	paaF	4.2.1.17	2,3-dehydroadipyl-CoA hydratase
LFT_00539	CDS	rpfC_1	2.7.13.3	Sensory/regulatory protein RpfC
LFT_00540	CDS	rpfC_2	2.7.13.3	Sensory/regulatory protein RpfC
LFT_00541	CDS	rpfG_1	3.1.4.52	Cyclic di-GMP phosphodiesterase response regulator RpfG
LFT_00542	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00543	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00544	CDS			hypothetical protein
LFT_00545	CDS			hypothetical protein
LFT_00546	CDS	bepA_2	3.4.-.-	Beta-barrel assembly-enhancing protease
LFT_00547	CDS			hypothetical protein
LFT_00548	CDS			hypothetical protein
LFT_00549	CDS		3.6.3.-	Putative multidrug export ATP-binding/permease protein
LFT_00550	CDS			hypothetical protein
LFT_00551	CDS			hypothetical protein
LFT_00552	CDS			hypothetical protein
LFT_00553	CDS	epsJ_1	2.4.-.-	putative glycosyltransferase EpsJ
LFT_00554	CDS	epsE_1	2.4.-.-	Putative glycosyltransferase EpsE
LFT_00555	CDS	epsJ_2	2.4.-.-	putative glycosyltransferase EpsJ
LFT_00556	CDS	glfT2	2.4.1.288	Galactofuranosyltransferase GlfT2
LFT_00557	CDS			hypothetical protein
LFT_00558	CDS			hypothetical protein
LFT_00559	CDS	glrR_1		Transcriptional regulatory protein GlrR
LFT_00560	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00561	CDS			hypothetical protein
LFT_00562	CDS	gtaB_2	2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase
LFT_00563	CDS	kinE_1	2.7.13.3	Sporulation kinase E
LFT_00564	CDS	glfT1	2.4.1.287	Galactofuranosyltransferase GlfT1
LFT_00565	CDS	kfoC		Chondroitin synthase
LFT_00566	CDS			hypothetical protein
LFT_00567	CDS			hypothetical protein
LFT_00568	CDS	bshA	2.4.1.-	N-acetyl-alpha-D-glucosaminyl L-malate synthase
LFT_00569	CDS	kanE	2.4.1.301	Alpha-D-kanosaminyltransferase
LFT_00570	CDS	epsD	2.4.-.-	Putative glycosyltransferase EpsD
LFT_00571	CDS	icaA	2.4.1.-	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
LFT_00572	CDS	icaB_1	3.5.1.-	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
LFT_00573	CDS			hypothetical protein
LFT_00574	CDS			hypothetical protein
LFT_00575	CDS	wecA	2.7.8.40	UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase
LFT_00576	CDS	ptk	2.7.10.-	Tyrosine-protein kinase ptk
LFT_00577	CDS			hypothetical protein
LFT_00578	CDS			hypothetical protein
LFT_00579	CDS			hypothetical protein
LFT_00580	CDS			hypothetical protein
LFT_00581	CDS	sigE		ECF RNA polymerase sigma factor SigE
LFT_00582	CDS			hypothetical protein
LFT_00583	CDS	merA_1	1.16.1.1	Mercuric reductase
LFT_00584	CDS	zntR		HTH-type transcriptional regulator ZntR
LFT_00585	CDS	yfkC		putative MscS family protein YfkC
LFT_00586	CDS	ydaM	2.7.7.65	putative diguanylate cyclase YdaM
LFT_00587	CDS			hypothetical protein
LFT_00588	CDS	dpnM_1	2.1.1.72	Modification methylase DpnIIA
LFT_00589	CDS	rfbD	5.4.99.9	UDP-galactopyranose mutase
LFT_00590	CDS	wbgU_1	5.1.3.7	UDP-N-acetylglucosamine 4-epimerase
LFT_00591	CDS			hypothetical protein
LFT_00592	CDS	glrR_2		Transcriptional regulatory protein GlrR
LFT_00593	CDS	glmS_1	2.6.1.16	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
LFT_00594	CDS	wbpA	1.1.1.136	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
LFT_00595	CDS			hypothetical protein
LFT_00596	CDS	wbgU_2	5.1.3.7	UDP-N-acetylglucosamine 4-epimerase
LFT_00597	CDS	vnfA		Nitrogen fixation protein VnfA
LFT_00598	CDS	amsI	3.1.3.48	putative low molecular weight protein-tyrosine-phosphatase AmsI
LFT_00599	CDS	gmr_1	3.1.4.52	Cyclic di-GMP phosphodiesterase Gmr
LFT_00600	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00601	tRNA			tRNA-Glu(ttc)
LFT_00602	CDS	sucC_1	6.2.1.4	Succinate--CoA ligase [GDP-forming] subunit beta
LFT_00603	CDS	sucD_1	6.2.1.5	Succinate--CoA ligase [ADP-forming] subunit alpha
LFT_00604	CDS			hypothetical protein
LFT_00605	CDS	dmdA	4.2.1.85	2,3-dimethylmalate dehydratase large subunit
LFT_00606	CDS	citA	2.3.3.16	Citrate synthase 1
LFT_00607	CDS			hypothetical protein
LFT_00608	CDS			hypothetical protein
LFT_00609	CDS	frdA	1.3.5.4	Fumarate reductase flavoprotein subunit
LFT_00610	CDS	sucC_2	6.2.1.5	Succinate--CoA ligase [ADP-forming] subunit beta
LFT_00611	CDS	sucD_2	6.2.1.5	Succinate--CoA ligase [ADP-forming] subunit alpha
LFT_00612	CDS		1.11.1.15	Putative peroxiredoxin
LFT_00613	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00614	CDS			hypothetical protein
LFT_00615	CDS	mraZ		Transcriptional regulator MraZ
LFT_00616	CDS	rsmH	2.1.1.199	Ribosomal RNA small subunit methyltransferase H
LFT_00617	CDS			hypothetical protein
LFT_00618	CDS	spoVD		Stage V sporulation protein D
LFT_00619	CDS	murE	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
LFT_00620	CDS	murF	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
LFT_00621	CDS	mraY	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase
LFT_00622	CDS	murD	6.3.2.9	UDP-N-acetylmuramoylalanine--D-glutamate ligase
LFT_00623	CDS	ftsW	2.4.1.129	putative peptidoglycan glycosyltransferase FtsW
LFT_00624	CDS	murG	2.4.1.227	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
LFT_00625	CDS	murC	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase
LFT_00626	CDS	murB	1.3.1.98	UDP-N-acetylenolpyruvoylglucosamine reductase
LFT_00627	CDS	ddl	6.3.2.4	D-alanine--D-alanine ligase
LFT_00628	CDS			hypothetical protein
LFT_00629	CDS	ftsA		Cell division protein FtsA
LFT_00630	CDS	ftsZ		Cell division protein FtsZ
LFT_00631	CDS	yfiH		Laccase domain protein YfiH
LFT_00632	CDS			hypothetical protein
LFT_00633	CDS	proC	1.5.1.2	Pyrroline-5-carboxylate reductase
LFT_00634	CDS			hypothetical protein
LFT_00635	CDS			hypothetical protein
LFT_00636	CDS			hypothetical protein
LFT_00637	CDS			hypothetical protein
LFT_00638	CDS			hypothetical protein
LFT_00639	CDS	shc	4.2.1.129	Squalene--hopene cyclase
LFT_00640	CDS			hypothetical protein
LFT_00641	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00642	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00643	CDS	gnu	5.1.3.26	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase
LFT_00644	CDS	ispH1	1.17.7.4	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1
LFT_00645	CDS	fom3_1	2.1.1.308	2-hydroxyethylphosphonate methyltransferase
LFT_00646	CDS			hypothetical protein
LFT_00647	CDS	arnE_1		4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
LFT_00648	CDS			hypothetical protein
LFT_00649	CDS	cbiX	4.99.1.3	Sirohydrochlorin cobaltochelatase
LFT_00650	CDS	hemE	4.1.1.37	Uroporphyrinogen decarboxylase
LFT_00651	CDS	hemN_1	1.3.98.3	Oxygen-independent coproporphyrinogen III oxidase
LFT_00652	CDS			hypothetical protein
LFT_00653	tRNA			tRNA-Ala(ggc)
LFT_00654	CDS			hypothetical protein
LFT_00655	CDS			hypothetical protein
LFT_00656	CDS			hypothetical protein
LFT_00657	CDS			hypothetical protein
LFT_00658	CDS			hypothetical protein
LFT_00659	CDS			hypothetical protein
LFT_00660	CDS			hypothetical protein
LFT_00661	CDS			hypothetical protein
LFT_00662	CDS			hypothetical protein
LFT_00663	CDS	traC	2.7.7.-	DNA primase TraC
LFT_00664	CDS			hypothetical protein
LFT_00665	CDS			hypothetical protein
LFT_00666	CDS	intS		Prophage integrase IntS
LFT_00667	CDS	metK	2.5.1.6	S-adenosylmethionine synthase
LFT_00668	CDS	ahcY	3.3.1.1	Adenosylhomocysteinase
LFT_00669	CDS			hypothetical protein
LFT_00670	CDS	cysK	2.5.1.47	Cysteine synthase
LFT_00671	CDS	moeZ_2		putative adenylyltransferase/sulfurtransferase MoeZ
LFT_00672	CDS	thrC_1	4.2.3.1	Threonine synthase
LFT_00673	CDS	cysO		Sulfur carrier protein CysO
LFT_00674	CDS			hypothetical protein
LFT_00675	CDS	moeZ_3		putative adenylyltransferase/sulfurtransferase MoeZ
LFT_00676	CDS	mec	3.4.17.-	CysO-cysteine peptidase
LFT_00677	CDS	phoP_1		Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
LFT_00678	CDS	phoR_1	2.7.13.3	Alkaline phosphatase synthesis sensor protein PhoR
LFT_00679	CDS	galE	5.1.3.2	UDP-glucose 4-epimerase
LFT_00680	CDS	nfo_1	3.1.21.2	putative endonuclease 4
LFT_00681	CDS	nfo_2	3.1.21.2	Endonuclease 4
LFT_00682	CDS	mlaE_1		putative phospholipid ABC transporter permease protein MlaE
LFT_00683	CDS	mlaF_1	3.6.3.-	putative phospholipid import ATP-binding protein MlaF
LFT_00684	CDS			hypothetical protein
LFT_00685	CDS	cpdA_1	3.1.4.53	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
LFT_00686	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00687	CDS			putative signaling protein
LFT_00688	CDS	pdxA2	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase 2
LFT_00689	CDS	fieF		Ferrous-iron efflux pump FieF
LFT_00690	CDS	uvrA		UvrABC system protein A
LFT_00691	CDS	lolA		Outer-membrane lipoprotein carrier protein
	sig_peptide			putative signal peptide
LFT_00692	CDS	ftsK		DNA translocase FtsK
LFT_00693	CDS	rnj1	3.1.-.-	Ribonuclease J 1
LFT_00694	CDS	rsmA	2.1.1.182	Ribosomal RNA small subunit methyltransferase A
LFT_00695	CDS			hypothetical protein
LFT_00696	CDS	slt	4.2.2.-	Soluble lytic murein transglycosylase
LFT_00697	CDS			hypothetical protein
LFT_00698	CDS			hypothetical protein
LFT_00699	misc_RNA			6S
LFT_00700	CDS			putative AAA domain-containing protein
LFT_00701	CDS	rny	3.1.-.-	Ribonuclease Y
LFT_00702	CDS			hypothetical protein
LFT_00703	CDS	xseA	3.1.11.6	Exodeoxyribonuclease 7 large subunit
LFT_00704	CDS	xseB	3.1.11.6	Exodeoxyribonuclease 7 small subunit
LFT_00705	CDS		2.5.1.10	Farnesyl diphosphate synthase
LFT_00706	CDS	dxs	2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase
LFT_00707	CDS	tlyA	2.1.1.226	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
LFT_00708	CDS		5.1.3.2	UDP-glucose 4-epimerase
LFT_00709	CDS	cutA		Divalent-cation tolerance protein CutA
LFT_00710	CDS	mepM_2	3.4.24.-	Murein DD-endopeptidase MepM
LFT_00711	CDS	secA		Protein translocase subunit SecA
LFT_00712	CDS	ndhC	1.6.5.-	NAD(P)H-quinone oxidoreductase subunit 3
LFT_00713	CDS	nuoB	1.6.5.11	NADH-quinone oxidoreductase subunit B
LFT_00714	CDS	nqo5	1.6.5.11	NADH-quinone oxidoreductase chain 5
LFT_00715	CDS	nqo4	1.6.5.11	NADH-quinone oxidoreductase subunit 4
LFT_00716	CDS	hndA	1.12.1.3	NADP-reducing hydrogenase subunit HndA
LFT_00717	CDS	hndC_1	1.12.1.3	NADP-reducing hydrogenase subunit HndC
LFT_00718	CDS	hndC_2	1.12.1.3	NADP-reducing hydrogenase subunit HndC
LFT_00719	CDS	sfrA	1.-.-.-	NADPH-Fe(3+) oxidoreductase subunit alpha
LFT_00720	CDS	nuoH	1.6.5.11	NADH-quinone oxidoreductase subunit H
LFT_00721	CDS	nuoI	1.6.5.11	NADH-quinone oxidoreductase subunit I
LFT_00722	CDS	nuoJ	1.6.5.11	NADH-quinone oxidoreductase subunit J
LFT_00723	CDS		1.6.5.11	NADH-quinone oxidoreductase subunit 11
LFT_00724	CDS	nuoL_1	1.6.5.11	NADH-quinone oxidoreductase subunit L
LFT_00725	CDS	nuoM	1.6.5.11	NADH-quinone oxidoreductase subunit M
LFT_00726	CDS	nuoN	1.6.5.11	NADH-quinone oxidoreductase subunit N
LFT_00727	CDS	lexA_1	3.4.21.88	LexA repressor
LFT_00728	CDS			hypothetical protein
LFT_00729	CDS	nrgA		Ammonium transporter NrgA
LFT_00730	CDS	glnB_2		Nitrogen regulatory protein P-II
LFT_00731	CDS	rapA_1	3.6.4.-	RNA polymerase-associated protein RapA
LFT_00732	CDS		1.5.5.2	Proline dehydrogenase
LFT_00733	CDS			putative Fe(2+)-trafficking protein
LFT_00734	CDS			hypothetical protein
LFT_00735	CDS	gmr_2	3.1.4.52	Cyclic di-GMP phosphodiesterase Gmr
LFT_00736	CDS			hypothetical protein
LFT_00737	CDS			hypothetical protein
LFT_00738	CDS			hypothetical protein
LFT_00739	CDS	bepA_3	3.4.-.-	Beta-barrel assembly-enhancing protease
LFT_00740	CDS	pleD_2		Response regulator PleD
LFT_00741	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00742	CDS	bepA_4	3.4.-.-	Beta-barrel assembly-enhancing protease
LFT_00743	CDS			hypothetical protein
LFT_00744	CDS			hypothetical protein
LFT_00745	CDS			hypothetical protein
LFT_00746	CDS			hypothetical protein
LFT_00747	CDS	xcpT		Type II secretion system protein G
LFT_00748	CDS	epsF		Type II secretion system protein F
LFT_00749	CDS	epsE_2		Type II secretion system protein E
LFT_00750	CDS	xcpQ_1		Type II secretion system protein D
	sig_peptide			putative signal peptide
LFT_00751	CDS			hypothetical protein
LFT_00752	CDS			hypothetical protein
LFT_00753	tRNA			tRNA-Gly(ccc)
LFT_00754	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00755	CDS			hypothetical protein
LFT_00756	CDS	tsdA_1	1.8.2.2	Thiosulfate dehydrogenase
LFT_00757	CDS	tsdA_2	1.8.2.2	Thiosulfate dehydrogenase
	sig_peptide			putative signal peptide
LFT_00758	CDS	cc4_1		Cytochrome c4
	sig_peptide			putative signal peptide
LFT_00759	CDS			putative signaling protein
LFT_00760	CDS			hypothetical protein
LFT_00761	CDS			hypothetical protein
LFT_00762	CDS			hypothetical protein
LFT_00763	CDS			hypothetical protein
LFT_00764	CDS	acsC		Cellulose synthase operon protein C
LFT_00765	CDS	bcsB		Cyclic di-GMP-binding protein
LFT_00766	CDS	bcsA_1	2.4.1.12	Cellulose synthase catalytic subunit [UDP-forming]
LFT_00767	CDS	cc4_2		Cytochrome c4
	sig_peptide			putative signal peptide
LFT_00768	CDS	tsdA_3	1.8.2.2	Thiosulfate dehydrogenase
	sig_peptide			putative signal peptide
LFT_00769	CDS	polB	2.7.7.7	DNA polymerase II
LFT_00770	CDS			hypothetical protein
LFT_00771	CDS			hypothetical protein
LFT_00772	CDS	lexA_2	3.4.21.88	LexA repressor
LFT_00773	CDS	pgi	5.3.1.9	Glucose-6-phosphate isomerase
LFT_00774	CDS			hypothetical protein
LFT_00775	CDS			hypothetical protein
LFT_00776	CDS	mdtC_1		Multidrug resistance protein MdtC
LFT_00777	CDS			hypothetical protein
LFT_00778	CDS			hypothetical protein
LFT_00779	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00780	CDS	arsB		Arsenical pump membrane protein
LFT_00781	CDS	arsC	1.20.4.1	Glutaredoxin arsenate reductase
LFT_00782	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00783	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00784	CDS			hypothetical protein
LFT_00785	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00786	CDS			hypothetical protein
LFT_00787	CDS	efeU		Ferrous iron permease EfeU
LFT_00788	CDS		3.1.-.-	Ribonuclease
LFT_00789	CDS	lcfB	6.2.1.3	Long-chain-fatty-acid--CoA ligase
LFT_00790	CDS			hypothetical protein
LFT_00791	CDS	nsrR		HTH-type transcriptional repressor NsrR
LFT_00792	CDS			hypothetical protein
LFT_00793	CDS	ndoR	1.18.1.7	Ferredoxin--NAD(P)(+) reductase (naphthalene dioxygenase ferredoxin-specific)
LFT_00794	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00795	CDS			hypothetical protein
LFT_00796	CDS	vhb		Bacterial hemoglobin
LFT_00797	CDS	algC	5.4.2.2	Phosphomannomutase/phosphoglucomutase
LFT_00798	CDS	algA		Alginate biosynthesis protein AlgA
LFT_00799	CDS			hypothetical protein
LFT_00800	CDS			hypothetical protein
LFT_00801	CDS	fabG_1	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG
LFT_00802	CDS	era_1		GTPase Era
LFT_00803	CDS	era_2		GTPase Era
LFT_00804	CDS	recO		DNA repair protein RecO
LFT_00805	CDS			hypothetical protein
LFT_00806	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00807	CDS	rlmI	2.1.1.191	Ribosomal RNA large subunit methyltransferase I
LFT_00808	CDS	typA		GTP-binding protein TypA/BipA
LFT_00809	CDS	cypB	5.2.1.8	Peptidyl-prolyl cis-trans isomerase B
	sig_peptide			putative signal peptide
LFT_00810	CDS	pqqB		Coenzyme PQQ synthesis protein B
LFT_00811	CDS	metH	2.1.1.13	Methionine synthase
LFT_00812	CDS			hypothetical protein
LFT_00813	CDS	thiC	4.1.99.17	Phosphomethylpyrimidine synthase
LFT_00814	CDS			hypothetical protein
LFT_00815	CDS	clpB_1		Chaperone protein ClpB
LFT_00816	CDS	uvrC		UvrABC system protein C
LFT_00817	CDS			hypothetical protein
LFT_00818	CDS	aroE	1.1.1.25	Shikimate dehydrogenase (NADP(+))
LFT_00819	CDS	ftsY		Signal recognition particle receptor FtsY
LFT_00820	CDS	ybeY	3.1.-.-	Endoribonuclease YbeY
LFT_00821	CDS	pgpH	3.1.4.-	Cyclic-di-AMP phosphodiesterase PgpH
LFT_00822	CDS			PhoH-like protein
LFT_00823	CDS			hypothetical protein
LFT_00824	CDS	pppA		Leader peptidase PppA
LFT_00825	CDS			hypothetical protein
LFT_00826	CDS			hypothetical protein
LFT_00827	CDS	bdbD		Disulfide bond formation protein D
	sig_peptide			putative signal peptide
LFT_00828	tRNA			tRNA-Thr(tgt)
LFT_00829	CDS	cheV		Chemotaxis protein CheV
LFT_00830	CDS			hypothetical protein
LFT_00831	CDS			hypothetical protein
LFT_00832	CDS	nusA		Transcription termination/antitermination protein NusA
LFT_00833	CDS	infB		Translation initiation factor IF-2
LFT_00834	CDS			hypothetical protein
LFT_00835	CDS	rbfA		Ribosome-binding factor A
LFT_00836	CDS	truB	5.4.99.25	tRNA pseudouridine synthase B
LFT_00837	CDS	rpsO		30S ribosomal protein S15
LFT_00838	CDS	pnp	2.7.7.8	Polyribonucleotide nucleotidyltransferase
LFT_00839	CDS			hypothetical protein
LFT_00840	CDS		3.4.24.-	putative zinc protease
LFT_00841	CDS	pdxJ	2.6.99.2	Pyridoxine 5'-phosphate synthase
LFT_00842	CDS	acpS	2.7.8.7	Holo-[acyl-carrier-protein] synthase
LFT_00843	CDS	nnr		Bifunctional NAD(P)H-hydrate repair enzyme Nnr
LFT_00844	CDS			hypothetical protein
LFT_00845	CDS			hypothetical protein
LFT_00846	CDS	mutS		DNA mismatch repair protein MutS
LFT_00847	CDS			hypothetical protein
LFT_00848	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00849	CDS	fabI	1.3.1.9	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
LFT_00850	CDS	petC	1.10.9.1	Cytochrome b6-f complex iron-sulfur subunit
LFT_00851	CDS	petB_1		Cytochrome b6
LFT_00852	CDS			hypothetical protein
LFT_00853	CDS			hypothetical protein
LFT_00854	CDS	yabJ	3.5.99.10	2-iminobutanoate/2-iminopropanoate deaminase
LFT_00855	CDS	recG	3.6.4.12	ATP-dependent DNA helicase RecG
LFT_00856	CDS			hypothetical protein
LFT_00857	CDS	gppA_1	3.6.1.40	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
LFT_00858	CDS	lapB_2		Lipopolysaccharide assembly protein B
LFT_00859	CDS	cca	2.7.7.72	CCA-adding enzyme
LFT_00860	CDS			hypothetical protein
LFT_00861	CDS	mdtC_2		Multidrug resistance protein MdtC
LFT_00862	CDS			hypothetical protein
LFT_00863	CDS	zur		Zinc uptake regulation protein
LFT_00864	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00865	CDS	flA	2.5.1.63	5'-fluoro-5'-deoxy-adenosine synthase
LFT_00866	CDS			hypothetical protein
LFT_00867	CDS	rpsA		30S ribosomal protein S1
LFT_00868	CDS	sppA_1	3.4.21.-	Putative signal peptide peptidase SppA
LFT_00869	CDS	ihfB		Integration host factor subunit beta
LFT_00870	CDS	ffh		Signal recognition particle protein
LFT_00871	CDS	rpsP		30S ribosomal protein S16
LFT_00872	CDS			hypothetical protein
LFT_00873	CDS	trmD	2.1.1.228	tRNA (guanine-N(1)-)-methyltransferase
LFT_00874	CDS	rplS		50S ribosomal protein L19
LFT_00875	CDS	rnhB	3.1.26.4	Ribonuclease HII
LFT_00876	CDS			hypothetical protein
LFT_00877	CDS	envC		Murein hydrolase activator EnvC
LFT_00878	CDS		3.4.21.-	putative CtpA-like serine protease
LFT_00879	CDS	groS1		10 kDa chaperonin 1
LFT_00880	CDS	groL		60 kDa chaperonin
LFT_00881	CDS	trxA_2		Thioredoxin
LFT_00882	CDS	recN		DNA repair protein RecN
LFT_00883	CDS			hypothetical protein
LFT_00884	CDS	speA	4.1.1.19	Arginine decarboxylase
LFT_00885	CDS	speE	2.5.1.104	Polyamine aminopropyltransferase
LFT_00886	CDS			hypothetical protein
LFT_00887	CDS	speH	4.1.1.50	S-adenosylmethionine decarboxylase proenzyme
LFT_00888	CDS			putative signaling protein
LFT_00889	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00890	CDS			hypothetical protein
LFT_00891	CDS	pgpA	3.1.3.27	Phosphatidylglycerophosphatase A
LFT_00892	CDS	recA		Protein RecA
LFT_00893	CDS	alaS	6.1.1.7	Alanine--tRNA ligase
LFT_00894	CDS			hypothetical protein
LFT_00895	CDS	yqgF	3.1.-.-	Putative pre-16S rRNA nuclease
LFT_00896	CDS	mltG	4.2.2.-	Endolytic murein transglycosylase
LFT_00897	CDS	valS	6.1.1.9	Valine--tRNA ligase
LFT_00898	CDS	nadC_1	2.4.2.19	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
LFT_00899	CDS	nadC_2	2.4.2.19	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
LFT_00900	CDS	birA	6.3.4.15	Bifunctional ligase/repressor BirA
