BLASTX 2.9.0+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: NCBI Protein Reference Sequences
           155,334,636 sequences; 58,941,098,972 total letters



Query= ENA|OBMB01000001|OBMB01000001.1 Leptospirillum ferriphilum isolate
pb_238 genome assembly, contig: unitig_0_quiver

Length=1740
                                                                      Score        E
WP_035034243.1 dTMP kinase [Aquabacterium sp. NJ1]                    94.0       7e-21 
WP_155877690.1 dTMP kinase [Desulfuromonas sp. AOP6]                  102        7e-21 
WP_015856399.1 dTMP kinase [Bartonella grahamii]                      101        7e-21 
WP_037894229.1 dTMP kinase [Streptomyces sp. Tu 6176]                 100        7e-21 
WP_094021731.1 dTMP kinase [Maliponia aquimaris]                      101        7e-21 
WP_114099824.1 dTMP kinase [Thalassospira profundimaris]              100        7e-21 
WP_141351122.1 dTMP kinase [Gluconobacter sphaericus]                 101        7e-21 
WP_069691599.1 dTMP kinase [Bosea vaviloviae]                         102        7e-21 
WP_130407505.1 dTMP kinase [Thalassococcus sp. S3]                    101        8e-21 
WP_058315584.1 dTMP kinase [Thalassobius activus]                     101        8e-21 
WP_148184270.1 dTMP kinase [Rhizobiales bacterium]                    102        8e-21 
WP_092165654.1 dTMP kinase [Bosea sp. OK403]                          102        8e-21 
WP_134829320.1 dTMP kinase [Leisingera sp. NJS201]                    101        8e-21 
WP_129371651.1 dTMP kinase [Leisingera sp. NJS204]                    101        8e-21 
WP_113118603.1 dTMP kinase [Rhizobiales bacterium]                    102        8e-21 
WP_037202146.1 MULTISPECIES: dTMP kinase [Rhizobium]                  102        8e-21 
WP_088649668.1 dTMP kinase [Marinibacterium profundimaris]            102        8e-21 
WP_085629136.1 MULTISPECIES: dTMP kinase [Marivita]                   101        8e-21 
WP_062438397.1 dTMP kinase [Thalassobacillus sp. TM-1]                101        8e-21 
WP_022571980.1 dTMP kinase [Rhodobacteraceae bacterium HIMB11]        101        8e-21 
WP_135503870.1 dTMP kinase [Roseovarius aestuariivivens]              101        8e-21 
WP_120635870.1 dTMP kinase [Ruegeria sp. EL01]                        101        8e-21 
WP_036484001.1 dTMP kinase [Nitratireductor basaltis]                 101        8e-21 
WP_020675803.1 dTMP kinase [Geopsychrobacter electrodiphilus]         101        8e-21 
WP_099833474.1 dTMP kinase [Moraxella osloensis]                      86.7       9e-21 
WP_089213461.1 dTMP kinase [Streptosporangium subroseum]              91.3       9e-21 
WP_085504843.1 dTMP kinase [Thalassobacillus devorans]                101        9e-21 
WP_139914933.1 dTMP kinase [Corallococcus exiguus]                    102        9e-21 
WP_018660096.1 dTMP kinase [Thermobrachium celere]                    101        9e-21 
WP_097599352.1 dTMP kinase [Rhizobium sp. L9]                         102        9e-21 
WP_154664505.1 dTMP kinase [Gemmobacter nectariphilus]                101        9e-21 
WP_015273222.1 dTMP kinase [Liberibacter crescens]                    94.7       9e-21 
WP_085592200.1 dTMP kinase [Thalassospira sp. MCCC 1A01428]           99.8       9e-21 
WP_104018347.1 dTMP kinase [Roseovarius nitratireducens]              101        9e-21 
WP_047995676.1 dTMP kinase [Puniceibacterium sp. IMCC21224]           101        9e-21 
WP_138315792.1 dTMP kinase [Candidatus Rhodoluna limnophila]          101        9e-21 
WP_086648424.1 dTMP kinase [Gluconobacter sp. DsW_056]                101        9e-21 
WP_029874136.1 dTMP kinase [Rhizobium leguminosarum]                  102        9e-21 
WP_044829107.1 dTMP kinase [Thalassospira sp. HJ]                     99.0       9e-21 
WP_002557549.1 dTMP kinase [Mycoplasma flocculare]                    101        9e-21 
WP_097612684.1 dTMP kinase [Rhizobium sp. C5]                         102        9e-21 
WP_008891041.1 dTMP kinase [Thalassospira profundimaris]              96.7       9e-21 
WP_025416201.1 dTMP kinase [Rhizobium leguminosarum]                  101        9e-21 
WP_023788791.1 dTMP kinase [Spiroplasma apis]                         101        9e-21 
WP_138275760.1 dTMP kinase [Candidatus Rhodoluna limnophila]          101        9e-21 
WP_011652038.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_039562900.1 dTMP kinase [Pseudomonas flexibilis]                   95.9       1e-20 
WP_037092756.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_109172859.1 dTMP kinase [Thioclava sp. NG1]                        101        1e-20 
WP_012895565.1 dTMP kinase [Streptosporangium roseum]                 93.2       1e-20 
WP_036324531.1 dTMP kinase [Microbispora sp. ATCC PTA-5024]           94.7       1e-20 
WP_123915174.1 dTMP kinase [Georgenia muralis]                        96.3       1e-20 
WP_039605773.1 dTMP kinase [Pseudomonas flexibilis]                   95.9       1e-20 
WP_039163570.1 dTMP kinase [Leisingera sp. ANG-M1]                    101        1e-20 
WP_130852945.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_047622876.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_089419721.1 MULTISPECIES: dTMP kinase [Sulfitobacter]              101        1e-20 
WP_086566394.1 dTMP kinase [Streptosporangium minutum]                93.2       1e-20 
WP_078663333.1 dTMP kinase [Bartonella sp. WD12.1]                    101        1e-20 
WP_017960510.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_020049995.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_047405395.1 dTMP kinase [Caulobacter sp. OV484]                    101        1e-20 
WP_125845622.1 dTMP kinase [Rhizobium pisi]                           102        1e-20 
WP_094085935.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_018494595.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_099307650.1 dTMP kinase [Zhengella mangrovi]                       102        1e-20 
WP_078574411.1 dTMP kinase [Thioclava marina]                         100        1e-20 
WP_110815924.1 dTMP kinase [Psychrobacter sp. YP14]                   92.4       1e-20 
WP_028035125.1 dTMP kinase [Chelativorans sp. J32]                    101        1e-20 
WP_013119010.1 dTMP kinase [Thermincola potens]                       101        1e-20 
WP_017988380.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_130825491.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_076366823.1 dTMP kinase [Rhodobacter vinaykumarii]                 101        1e-20 
WP_032987255.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_064802675.1 MULTISPECIES: dTMP kinase [Rhizobium]                  101        1e-20 
WP_152844807.1 dTMP kinase [Thioclava sp. JE_KL1]                     100        1e-20 
WP_085849571.1 dTMP kinase [Pacificibacter marinus]                   101        1e-20 
WP_066634229.1 dTMP kinase [Desulfofarcimen intricatum]               94.7       1e-20 
WP_129431780.1 dTMP kinase [Roseovarius sp. A46]                      101        1e-20 
WP_114102937.1 dTMP kinase [Thalassospira profundimaris]              100        1e-20 
WP_088720124.1 MULTISPECIES: dTMP kinase [unclassified Thioclava]     100        1e-20 
WP_151519307.1 dTMP kinase [Rhizobium sp. PEPV16]                     101        1e-20 
WP_017964352.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_011959422.1 dTMP kinase [Psychrobacter sp. PRwf-1]                 92.4       1e-20 
WP_075776908.1 MULTISPECIES: dTMP kinase [Thioclava]                  100        1e-20 
WP_111506712.1 dTMP kinase [Streptacidiphilus pinicola]               98.2       1e-20 
WP_047638124.1 MULTISPECIES: dTMP kinase [Rhizobium]                  101        1e-20 
WP_072638419.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_154087106.1 dTMP kinase [Rhodobacteraceae bacterium]               100        1e-20 
WP_019221779.1 dTMP kinase [Bartonella senegalensis]                  101        1e-20 
WP_054183113.1 dTMP kinase [Rhizobium acidisoli]                      101        1e-20 
WP_097628860.1 MULTISPECIES: dTMP kinase [Rhizobium]                  101        1e-20 
WP_152474235.1 dTMP kinase [Roseovarius sp. THAF9]                    100        1e-20 
WP_071469101.1 dTMP kinase [Roseinatronobacter thiooxidans]           101        1e-20 
WP_133487924.1 dTMP kinase [Aliiroseovarius marinus]                  100        1e-20 
WP_013385182.1 dTMP kinase [Ketogulonicigenium vulgare]               100        1e-20 
WP_003579332.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_088722519.1 MULTISPECIES: dTMP kinase [unclassified Thioclava]     100        1e-20 
WP_074380681.1 dTMP kinase [Bartonella doshiae]                       101        1e-20 
WP_020713488.1 dTMP kinase [Acidobacteriaceae bacterium KBS 89]       101        1e-20 
WP_058242946.1 dTMP kinase [Thalassobius autumnalis]                  101        1e-20 
WP_151652499.1 dTMP kinase [Ochrobactrum tritici]                     101        1e-20 
WP_041678649.1 dTMP kinase [Rhizobium etli]                           101        1e-20 
WP_022730833.1 dTMP kinase [Thalassospira lucentensis]                100        1e-20 
WP_011251621.1 dTMP kinase [Gluconobacter oxydans]                    98.2       1e-20 
WP_056722627.1 dTMP kinase [Caulobacter sp. Root655]                  95.1       1e-20 
WP_149776817.1 dTMP kinase [Ruegeria intermedia]                      101        1e-20 
WP_003586402.1 dTMP kinase [Rhizobium leguminosarum]                  101        1e-20 
WP_031158106.1 dTMP kinase [Streptosporangium roseum]                 92.8       1e-20 
WP_093892012.1 dTMP kinase [Streptosporangium canum]                  92.8       1e-20 
WP_092362996.1 dTMP kinase [Cribrihabitans marinus]                   101        1e-20 
WP_056437593.1 dTMP kinase [Caulobacter sp. Root1455]                 92.0       1e-20 
WP_050058011.1 dTMP kinase [Silvibacterium bohemicum]                 101        1e-20 
WP_027236826.1 dTMP kinase [Leisingera caerulea]                      101        1e-20 
WP_095134985.1 dTMP kinase [Anaeromicrobium sediminis]                100        1e-20 
WP_052434944.1 dTMP kinase [Streptacidiphilus melanogenes]            97.1       1e-20 
WP_138934391.1 dTMP kinase [Roseovarius sp. MK6-18]                   100        1e-20 
WP_039619772.1 MULTISPECIES: dTMP kinase [Rhizobium]                  101        1e-20 
WP_095356153.1 dTMP kinase [Moraxella osloensis]                      87.0       1e-20 
WP_085816134.1 dTMP kinase [Roseovarius halotolerans]                 100        1e-20 
WP_038688985.1 dTMP kinase [Rhizobium sp. IE4771]                     101        1e-20 
WP_096770774.1 dTMP kinase [Rhizobium sophoriradicis]                 101        1e-20 
WP_030905912.1 dTMP kinase [Streptosporangium amethystogenes]         92.4       1e-20 
WP_009175733.1 dTMP kinase [Silicibacter sp. TrichCH4B]               100        1e-20 
WP_066605101.1 dTMP kinase [Celeribacter halophilus]                  100        1e-20 
WP_098411606.1 dTMP kinase [Thioclava sp. ES.031]                     100        1e-20 
WP_078529865.1 dTMP kinase [Thioclava sp. L04-15]                     100        1e-20 
WP_055242108.1 dTMP kinase [Arthrobacter sp. Edens01]                 100        1e-20 
WP_056463881.1 dTMP kinase [Caulobacter sp. Root487D2Y]               92.0       1e-20 
WP_064842828.1 dTMP kinase [Rhizobium phaseoli]                       101        1e-20 
WP_113062710.1 dTMP kinase [Oligella urethralis]                      94.4       1e-20 
WP_028955940.1 dTMP kinase [Sulfitobacter sp. 20_GPM-1509m]           100        1e-20 
WP_114090777.1 dTMP kinase [Thalassospira profundimaris]              101        1e-20 
WP_109774676.1 dTMP kinase [Quadrisphaera granulorum]                 105        1e-20 
WP_064827597.1 dTMP kinase [Rhizobium phaseoli]                       101        1e-20 
WP_156258363.1 dTMP kinase [Oceanobacillus sp. HTM 045]               101        1e-20 
WP_058264221.1 dTMP kinase [Thalassobius gelatinovorus]               100        1e-20 
WP_132858395.1 dTMP kinase [Shimia isoporae]                          100        1e-20 
WP_048768216.1 dTMP kinase [Oligella urethralis]                      94.4       1e-20 
WP_011341425.1 dTMP kinase [Pelobacter carbinolicus]                  100        1e-20 
WP_037114043.1 MULTISPECIES: dTMP kinase [Rhizobium]                  101        1e-20 
WP_063475631.1 MULTISPECIES: dTMP kinase [Rhizobium]                  101        1e-20 
WP_087008618.1 dTMP kinase [Gulosibacter sp. 10]                      93.6       1e-20 
WP_011524027.1 dTMP kinase [Candidatus Koribacter versatilis]         100        1e-20 
WP_127112639.1 dTMP kinase [Thalassobius sp. ZQ172]                   100        1e-20 
WP_077806009.1 dTMP kinase [Neoasaia chiangmaiensis]                  91.7       1e-20 
WP_076774871.1 dTMP kinase [Enhydrobacter sp. H5]                     87.0       1e-20 
WP_110704890.1 dTMP kinase [Streptosporangium sp. 'caverna']          91.3       1e-20 
WP_028757350.1 MULTISPECIES: dTMP kinase [Rhizobium]                  101        1e-20 
WP_093039043.1 dTMP kinase [Roseovarius azorensis]                    100        1e-20 
WP_145207849.1 dTMP kinase [Rhodobacteraceae bacterium PT6CLA]        100        1e-20 
WP_132102993.1 dTMP kinase [Jiangella sp. 8K307]                      99.4       1e-20 
WP_097579321.1 dTMP kinase [Rhizobium sp. H4]                         101        1e-20 
WP_043137738.1 dTMP kinase [Mameliella alba]                          100        1e-20 
WP_052274680.1 dTMP kinase [Halocynthiibacter arcticus]               101        1e-20 
WP_037127811.1 dTMP kinase [Rhizobium sp. CF394]                      101        2e-20 
WP_124088668.1 dTMP kinase [Xinfangfangia sp. CIP 111625]             100        2e-20 
WP_018026642.1 MULTISPECIES: dTMP kinase [Oligella]                   94.4       2e-20 
WP_135980263.1 dTMP kinase [Erysipelotrichaceae bacterium]            100        2e-20 
WP_078541822.1 dTMP kinase [Thioclava sp. DLFJ5-1]                    100        2e-20 
WP_065280004.1 dTMP kinase [Rhizobium leguminosarum]                  101        2e-20 
WP_058289989.1 dTMP kinase [Epibacterium multivorans]                 100        2e-20 
WP_056051715.1 MULTISPECIES: dTMP kinase [unclassified Caulobacter]   100        2e-20 
WP_078520230.1 dTMP kinase [Thioclava sp. F28-4]                      100        2e-20 
WP_026758856.1 dTMP kinase [Sediminimonas qiaohouensis]               100        2e-20 
WP_078601662.1 dTMP kinase [Thioclava sp. DLFJ4-1]                    100        2e-20 
WP_106473975.1 dTMP kinase [Rhodobacteraceae bacterium SH-1]          100        2e-20 
WP_101964339.1 dTMP kinase [Moraxella osloensis]                      87.0       2e-20 
WP_111258051.1 dTMP kinase [Jiangella anatolica]                      93.6       2e-20 
WP_038127458.1 dTMP kinase [Thioclava indica]                         100        2e-20 


>WP_143468932.1 dTMP kinase, partial [Leptospirillum ferriphilum]
Length=211

 Score = 431 bits (1108),  Expect = 6e-147, Method: Compositional matrix adjust.
 Identities = 210/211 (99%), Positives = 211/211 (100%), Gaps = 0/211 (0%)
 Frame = -3
--
>WP_036082512.1 hypothetical protein [Leptospirillum ferriphilum]
Length=420

 Score = 421 bits (1081),  Expect = 1e-139, Method: Compositional matrix adjust.
 Identities = 218/248 (88%), Positives = 222/248 (90%), Gaps = 8/248 (3%)
 Frame = -1
--
>WP_099590442.1 hypothetical protein [Leptospirillum ferriphilum]
Length=152

 Score = 308 bits (790),  Expect = 9e-100, Method: Compositional matrix adjust.
 Identities = 152/152 (100%), Positives = 152/152 (100%), Gaps = 0/152 (0%)
 Frame = -1
--
>WP_036082510.1 hypothetical protein [Leptospirillum ferriphilum]
Length=164

 Score = 200 bits (508),  Expect(2) = 9e-71, Method: Compositional matrix adjust.
 Identities = 102/117 (87%), Positives = 106/117 (91%), Gaps = 1/117 (1%)
 Frame = -2
--
>WP_052157864.1 dTMP kinase [Leptospirillum ferriphilum]
Length=337

 Score = 238 bits (607),  Expect = 7e-70, Method: Compositional matrix adjust.
 Identities = 122/157 (78%), Positives = 126/157 (80%), Gaps = 6/157 (4%)
 Frame = -3
--
>WP_099590700.1 hypothetical protein [Leptospirillum ferriphilum]
Length=131

 Score = 185 bits (469),  Expect = 2e-52, Method: Compositional matrix adjust.
 Identities = 91/108 (84%), Positives = 95/108 (88%), Gaps = 3/108 (3%)
 Frame = -3
--
>WP_099590441.1 hypothetical protein [Leptospirillum ferriphilum]
Length=88

 Score = 180 bits (457),  Expect = 3e-51, Method: Compositional matrix adjust.
 Identities = 88/88 (100%), Positives = 88/88 (100%), Gaps = 0/88 (0%)
 Frame = -3
--
>WP_099590698.1 hypothetical protein [Leptospirillum ferriphilum]
Length=88

 Score = 98.2 bits (243),  Expect(2) = 6e-37, Method: Compositional matrix adjust.
 Identities = 48/49 (98%), Positives = 49/49 (100%), Gaps = 0/49 (0%)
 Frame = -3
--
>WP_099590699.1 hypothetical protein [Leptospirillum ferriphilum]
Length=76

 Score = 116 bits (290),  Expect = 1e-27, Method: Compositional matrix adjust.
 Identities = 61/73 (84%), Positives = 64/73 (88%), Gaps = 1/73 (1%)
 Frame = -2
--
>WP_006001863.1 dTMP kinase [Desulfuromonas acetoxidans]
Length=216

 Score = 119 bits (299),  Expect = 4e-27, Method: Compositional matrix adjust.
 Identities = 63/138 (46%), Positives = 87/138 (63%), Gaps = 11/138 (8%)
 Frame = -3
--
>WP_004513302.1 dTMP kinase [Geobacter metallireducens]
Length=217

 Score = 118 bits (295),  Expect = 1e-26, Method: Compositional matrix adjust.
 Identities = 62/135 (46%), Positives = 83/135 (61%), Gaps = 9/135 (7%)
 Frame = -3
--
>WP_066726679.1 dTMP kinase [Desulfuromonas sp. DDH964]
Length=215

 Score = 116 bits (290),  Expect = 6e-26, Method: Compositional matrix adjust.
 Identities = 61/156 (39%), Positives = 89/156 (57%), Gaps = 9/156 (6%)
 Frame = -3
--
>WP_106807760.1 dTMP kinase [Candidatus Sulfotelmatobacter kueseliae]
Length=220

 Score = 114 bits (286),  Expect = 2e-25, Method: Compositional matrix adjust.
 Identities = 60/138 (43%), Positives = 82/138 (59%), Gaps = 9/138 (7%)
 Frame = -3
--
>WP_010942869.1 dTMP kinase [Geobacter sulfurreducens]
 NP_953278.1 thymidylate kinase [Geobacter sulfurreducens PCA]
Length=213

 Score = 113 bits (282),  Expect = 7e-25, Method: Compositional matrix adjust.
 Identities = 60/136 (44%), Positives = 79/136 (58%), Gaps = 9/136 (7%)
--
>WP_134322136.1 dTMP kinase [Cumulibacter sp. G-1]
Length=215

 Score = 112 bits (281),  Expect = 1e-24, Method: Compositional matrix adjust.
 Identities = 62/141 (44%), Positives = 87/141 (62%), Gaps = 8/141 (6%)
 Frame = -3
--
>WP_035614343.1 dTMP kinase [Haloferula sp. BvORR071]
Length=202

 Score = 112 bits (280),  Expect = 1e-24, Method: Compositional matrix adjust.
 Identities = 65/157 (41%), Positives = 96/157 (61%), Gaps = 10/157 (6%)
 Frame = -3
--
>WP_053550782.1 dTMP kinase [Desulfuromonas soudanensis]
Length=214

 Score = 112 bits (279),  Expect = 2e-24, Method: Compositional matrix adjust.
 Identities = 61/140 (44%), Positives = 83/140 (59%), Gaps = 15/140 (11%)
 Frame = -3
--
>WP_149755191.1 dTMP kinase [Roseivivax sediminis]
Length=211

 Score = 112 bits (279),  Expect = 2e-24, Method: Compositional matrix adjust.
 Identities = 66/159 (42%), Positives = 87/159 (55%), Gaps = 16/159 (10%)
 Frame = -3
--
>WP_051487555.1 dTMP kinase [Roseivivax marinus]
Length=217

 Score = 112 bits (279),  Expect = 2e-24, Method: Compositional matrix adjust.
 Identities = 65/159 (41%), Positives = 88/159 (55%), Gaps = 16/159 (10%)
 Frame = -3
--
>WP_027714330.1 dTMP kinase [Desulfuromonas sp. TF]
Length=215

 Score = 111 bits (277),  Expect = 3e-24, Method: Compositional matrix adjust.
 Identities = 63/147 (43%), Positives = 86/147 (59%), Gaps = 14/147 (10%)
 Frame = -3
--
>WP_039643820.1 dTMP kinase [Geobacter soli]
Length=213

 Score = 111 bits (277),  Expect = 4e-24, Method: Compositional matrix adjust.
 Identities = 59/135 (44%), Positives = 79/135 (59%), Gaps = 9/135 (7%)
 Frame = -3
--
>WP_066357242.1 dTMP kinase [Geobacter anodireducens]
Length=213

 Score = 111 bits (277),  Expect = 4e-24, Method: Compositional matrix adjust.
 Identities = 59/135 (44%), Positives = 79/135 (59%), Gaps = 9/135 (7%)
 Frame = -3
--
>WP_037261039.1 dTMP kinase [Roseivivax halodurans]
Length=211

 Score = 110 bits (276),  Expect = 5e-24, Method: Compositional matrix adjust.
 Identities = 63/155 (41%), Positives = 85/155 (55%), Gaps = 10/155 (6%)
 Frame = -3
--
>WP_050662644.1 dTMP kinase [Roseovarius tolerans]
Length=208

 Score = 110 bits (275),  Expect = 5e-24, Method: Compositional matrix adjust.
 Identities = 56/111 (50%), Positives = 72/111 (65%), Gaps = 8/111 (7%)
 Frame = -3
--
>WP_129742720.1 dTMP kinase [Candidatus Gastranaerophilales bacterium]
Length=202

 Score = 110 bits (274),  Expect = 6e-24, Method: Compositional matrix adjust.
 Identities = 62/148 (42%), Positives = 82/148 (55%), Gaps = 8/148 (5%)
 Frame = -3
--
>WP_119333035.1 dTMP kinase [Geobacter sulfurreducens]
Length=213

 Score = 110 bits (275),  Expect = 6e-24, Method: Compositional matrix adjust.
 Identities = 59/136 (43%), Positives = 78/136 (57%), Gaps = 9/136 (7%)
 Frame = -3
--
>WP_009539994.1 dTMP kinase [Caenispirillum salinarum]
Length=234

 Score = 110 bits (275),  Expect = 1e-23, Method: Compositional matrix adjust.
 Identities = 58/153 (38%), Positives = 86/153 (56%), Gaps = 9/153 (6%)
 Frame = -3
--
>WP_111837158.1 MULTISPECIES: dTMP kinase [Actinomyces]
Length=262

 Score = 99.8 bits (247),  Expect(2) = 2e-23, Method: Compositional matrix adjust.
 Identities = 55/141 (39%), Positives = 77/141 (55%), Gaps = 20/141 (14%)
 Frame = -3
--
>WP_011179369.1 dTMP kinase [Bartonella quintana]
Length=214

 Score = 108 bits (271),  Expect = 3e-23, Method: Compositional matrix adjust.
 Identities = 60/139 (43%), Positives = 81/139 (58%), Gaps = 9/139 (6%)
 Frame = -3
--
>WP_014924067.1 dTMP kinase [Bartonella quintana]
Length=211

 Score = 108 bits (270),  Expect = 3e-23, Method: Compositional matrix adjust.
 Identities = 60/139 (43%), Positives = 81/139 (58%), Gaps = 9/139 (6%)
 Frame = -3
--
>WP_078695297.1 dTMP kinase [Caloramator quimbayensis]
Length=204

 Score = 108 bits (269),  Expect = 4e-23, Method: Compositional matrix adjust.
 Identities = 56/136 (41%), Positives = 78/136 (57%), Gaps = 9/136 (7%)
 Frame = -3
--
>WP_038647950.1 dTMP kinase [Spiroplasma culicicola]
Length=212

 Score = 108 bits (269),  Expect = 4e-23, Method: Compositional matrix adjust.
 Identities = 55/139 (40%), Positives = 79/139 (57%), Gaps = 8/139 (6%)
 Frame = -3
--
>WP_101790648.1 dTMP kinase [Nonomuraea indica]
Length=682

 Score = 102 bits (253),  Expect(2) = 4e-23, Method: Compositional matrix adjust.
 Identities = 53/123 (43%), Positives = 77/123 (63%), Gaps = 10/123 (8%)
 Frame = -3
--
>WP_076649841.1 dTMP kinase [Pontibaca methylaminivorans]
Length=215

 Score = 108 bits (269),  Expect = 5e-23, Method: Compositional matrix adjust.
 Identities = 53/105 (50%), Positives = 69/105 (66%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_097081751.1 dTMP kinase [Rhodobacter sp. JA431]
Length=206

 Score = 107 bits (268),  Expect = 5e-23, Method: Compositional matrix adjust.
 Identities = 58/139 (42%), Positives = 80/139 (58%), Gaps = 16/139 (12%)
 Frame = -3
--
>WP_080454949.1 dTMP kinase [Roseovarius sp. A-2]
Length=208

 Score = 107 bits (267),  Expect = 6e-23, Method: Compositional matrix adjust.
 Identities = 53/107 (50%), Positives = 70/107 (65%), Gaps = 8/107 (7%)
 Frame = -3
--
>WP_023175430.1 dTMP kinase [Gloeobacter kilaueensis]
Length=207

 Score = 107 bits (267),  Expect = 7e-23, Method: Compositional matrix adjust.
 Identities = 60/140 (43%), Positives = 81/140 (58%), Gaps = 8/140 (6%)
 Frame = -3
--
>WP_022481663.1 dTMP kinase [Candidatus Gastranaerophilales bacterium]
Length=210

 Score = 107 bits (267),  Expect = 7e-23, Method: Compositional matrix adjust.
 Identities = 59/147 (40%), Positives = 86/147 (59%), Gaps = 8/147 (5%)
 Frame = -3
--
>WP_067138628.1 dTMP kinase [Microtetraspora malaysiensis]
Length=685

 Score = 100 bits (249),  Expect(2) = 8e-23, Method: Compositional matrix adjust.
 Identities = 55/129 (43%), Positives = 75/129 (58%), Gaps = 18/129 (14%)
 Frame = -3
--
>WP_105319563.1 dTMP kinase [Rhodobacteraceae bacterium WD3A24]
Length=212

 Score = 107 bits (267),  Expect = 8e-23, Method: Compositional matrix adjust.
 Identities = 61/152 (40%), Positives = 87/152 (57%), Gaps = 16/152 (11%)
 Frame = -3
--
>WP_093245502.1 dTMP kinase [Ruminococcaceae bacterium YAD3003]
Length=207

 Score = 107 bits (266),  Expect = 8e-23, Method: Compositional matrix adjust.
 Identities = 60/148 (41%), Positives = 81/148 (55%), Gaps = 9/148 (6%)
 Frame = -3
--
>WP_066945653.1 dTMP kinase [Microtetraspora fusca]
Length=685

 Score = 100 bits (249),  Expect(2) = 8e-23, Method: Compositional matrix adjust.
 Identities = 55/129 (43%), Positives = 75/129 (58%), Gaps = 18/129 (14%)
 Frame = -3
--
>WP_097805981.1 dTMP kinase [Pelagimonas varians]
Length=212

 Score = 107 bits (266),  Expect = 9e-23, Method: Compositional matrix adjust.
 Identities = 62/137 (45%), Positives = 83/137 (61%), Gaps = 16/137 (12%)
 Frame = -3
--
>WP_152176923.1 dTMP kinase [Tetrasphaera sp. F2B08]
Length=209

 Score = 107 bits (266),  Expect = 1e-22, Method: Compositional matrix adjust.
 Identities = 56/152 (37%), Positives = 87/152 (57%), Gaps = 12/152 (8%)
 Frame = -3
--
>WP_011939980.1 dTMP kinase [Geobacter uraniireducens]
Length=213

 Score = 107 bits (266),  Expect = 1e-22, Method: Compositional matrix adjust.
 Identities = 55/136 (40%), Positives = 81/136 (60%), Gaps = 9/136 (7%)
 Frame = -3
--
>WP_074785224.1 dTMP kinase [Roseovarius tolerans]
Length=208

 Score = 107 bits (266),  Expect = 1e-22, Method: Compositional matrix adjust.
 Identities = 56/111 (50%), Positives = 71/111 (64%), Gaps = 8/111 (7%)
 Frame = -3
--
>WP_107967614.1 dTMP kinase [Sphingomonas oleivorans]
Length=204

 Score = 106 bits (265),  Expect = 1e-22, Method: Compositional matrix adjust.
 Identities = 58/153 (38%), Positives = 88/153 (58%), Gaps = 9/153 (6%)
 Frame = -3
--
>WP_126416293.1 dTMP kinase [Trueperella bialowiezensis]
Length=233

 Score = 96.3 bits (238),  Expect(2) = 1e-22, Method: Compositional matrix adjust.
 Identities = 43/118 (36%), Positives = 76/118 (64%), Gaps = 6/118 (5%)
 Frame = -3
--
>WP_108799339.1 dTMP kinase [Rhodobacteraceae bacterium Alg231-04]
Length=211

 Score = 107 bits (266),  Expect = 1e-22, Method: Compositional matrix adjust.
 Identities = 51/105 (49%), Positives = 70/105 (67%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_059177212.1 dTMP kinase [Thermodesulfovibrio aggregans]
Length=208

 Score = 97.1 bits (240),  Expect(2) = 1e-22, Method: Compositional matrix adjust.
 Identities = 49/122 (40%), Positives = 71/122 (58%), Gaps = 7/122 (6%)
 Frame = -3
--
>WP_090029679.1 dTMP kinase [Lutimaribacter saemankumensis]
Length=212

 Score = 107 bits (266),  Expect = 1e-22, Method: Compositional matrix adjust.
 Identities = 57/118 (48%), Positives = 76/118 (64%), Gaps = 11/118 (9%)
 Frame = -3
--
>WP_153429204.1 dTMP kinase [Gluconobacter sp. AC10]
Length=214

 Score = 103 bits (256),  Expect(2) = 1e-22, Method: Compositional matrix adjust.
 Identities = 52/124 (42%), Positives = 79/124 (64%), Gaps = 7/124 (6%)
 Frame = -3
--
>WP_067186032.1 dTMP kinase [Microtetraspora niveoalba]
Length=685

