locus_tag	KEGG_ko
LFT_01592	K00793,K02858,K14652
LFT_01593	K00082,K01498,K11752
LFT_01594	K01879,K14164
LFT_01595	K01878,K14164
LFT_01596	K21023
LFT_01597	K00833,K01012
LFT_01598	K00652,K01906
LFT_01599	K00652
LFT_01600	K10716
LFT_01601	
LFT_01602	
LFT_01603	K03316
LFT_01604	K09777
LFT_01605	K00942,K01591
LFT_01606	K03060
LFT_01607	K01598,K13038
LFT_01608	
LFT_01609	K01271,K03785,K03786
LFT_01610	K02356
LFT_01611	K00627,K01571,K02160
LFT_01612	K01961
LFT_01613	K01961
LFT_01614	K00788
LFT_01615	
LFT_01616	
LFT_01617	
LFT_01618	K02482,K07636
LFT_01619	
LFT_01626	K00857,K01920,K01935,K02169
LFT_01627	
LFT_01628	
LFT_01629	
LFT_01631	
LFT_01632	K00074
LFT_01634	
LFT_01635	K01992
LFT_01636	K01990
LFT_01639	K12340
LFT_01640	K19338,K21960
LFT_01641	
LFT_01642	K03585
LFT_01643	K12340
LFT_01644	K13542,K13770,K22108
LFT_01646	K09778
LFT_01647	K01952
LFT_01648	K01952
LFT_01649	K00764
LFT_01650	K07272,K13486,K20543,K21007
LFT_01651	K03274
LFT_01653	
LFT_01654	
LFT_01655	K00713,K06338
LFT_01656	K00697,K13057,K16055,K20436
LFT_01657	K00697,K01087,K16055
LFT_01658	K00067
LFT_01660	K02879,K16193
LFT_01661	K03040
LFT_01662	K02986
LFT_01663	K02952
LFT_01664	K02518
LFT_01665	K01265
LFT_01666	K00939
LFT_01667	K03076
LFT_01668	K02876
LFT_01669	K02988
LFT_01670	K02881
LFT_01671	K02933
LFT_01672	K02994
LFT_01673	K02931
LFT_01675	K02982
LFT_01676	K02890
LFT_01677	K02965
LFT_01678	K02886
LFT_01679	K02892
LFT_01680	K02926,K16193
LFT_01681	K02906
LFT_01682	K02946
LFT_01683	K02358,K15771
LFT_01684	K02355
LFT_01685	K02992
LFT_01686	K02950
LFT_01687	K03046,K13797
LFT_01688	K03043,K13797
LFT_01689	K02935
LFT_01690	K02864,K02935
LFT_01691	K02863
LFT_01692	K02867
LFT_01693	K02601
LFT_01694	K03073
LFT_01696	K02358,K15771
LFT_01700	
LFT_01701	K17218
LFT_01703	K14441
LFT_01707	K03642
LFT_01708	K16785,K16786,K16787
LFT_01709	K02963
LFT_01710	K03111
LFT_01711	K01754,K02990
LFT_01712	K06942
LFT_01713	K01056
LFT_01714	K02897
LFT_01715	K00948
LFT_01717	K00919,K02528,K16924
LFT_01718	
LFT_01719	K00995,K08744
LFT_01722	K03544
LFT_01723	K01358
LFT_01724	K02026,K03545,K03687
LFT_01725	K14253
LFT_01727	K00036
LFT_01728	K00033,K00616,K01810,K13810
LFT_01729	K00615
LFT_01730	K01057
LFT_01731	K00845
LFT_01732	K21008
LFT_01733	
LFT_01737	
LFT_01739	
LFT_01740	K00344
LFT_01741	K07313
LFT_01742	K00231,K14266
LFT_01743	K00231,K14266
LFT_01745	
LFT_01746	K03281
LFT_01748	
LFT_01749	
LFT_01752	
LFT_01753	
LFT_01754	K07064
LFT_01756	K03406
LFT_01759	
LFT_01761	
LFT_01762	K00567,K01247,K13529,K15051
LFT_01763	K00567
LFT_01764	
LFT_01765	K02656
LFT_01766	
LFT_01768	K03652
LFT_01769	K07395
LFT_01770	
LFT_01771	
LFT_01772	
LFT_01774	K21498
LFT_01775	
LFT_01776	
LFT_01777	K12140
LFT_01778	K12141
LFT_01779	K14089
LFT_01780	
LFT_01783	K01420,K21564
LFT_01787	
LFT_01788	
LFT_01789	
LFT_01790	
LFT_01791	
LFT_01792	K21495
LFT_01793	K07062
LFT_01795	
LFT_01797	
LFT_01799	K16137
LFT_01800	K06039,K07092
LFT_01801	
LFT_01803	
LFT_01804	K07031
LFT_01805	K02377
LFT_01806	K00161,K21416
LFT_01807	K00162,K21417
LFT_01808	K12452
LFT_01809	K00966,K03273,K15669
LFT_01810	
LFT_01812	K07483,K07497
LFT_01813	K07497
LFT_01815	
LFT_01816	K02315
LFT_01818	K02315
LFT_01819	K02315
LFT_01820	K16328
LFT_01821	
LFT_01822	
LFT_01824	K07483,K07497
LFT_01825	K07497
LFT_01827	
LFT_01828	
LFT_01829	
LFT_01830	
LFT_01831	
LFT_01832	
LFT_01833	
LFT_01834	
LFT_01835	K02527,K02841,K02843,K12982
LFT_01836	
LFT_01838	K12993
LFT_01839	K01990,K09689,K09691
LFT_01840	K01992,K09690
LFT_01841	K00996,K16566,K16707
LFT_01842	
LFT_01843	
LFT_01845	
LFT_01846	
LFT_01848	K00341,K05577,K09822
LFT_01849	K09822
LFT_01850	
LFT_01851	K01687
LFT_01852	K07566
LFT_01853	K01687,K16786
LFT_01855	K00341,K05577,K09822
LFT_01856	K09822
LFT_01857	K02003,K02484,K07708,K13924,K14986
LFT_01858	K02003,K02484,K07708,K13924,K14986
LFT_01859	K07714
LFT_01862	
LFT_01863	K18614
LFT_01864	K00020
LFT_01865	
LFT_01866	K01607
LFT_01867	
LFT_01868	K07403
LFT_01869	
LFT_01873	
LFT_01874	
LFT_01876	K00003
LFT_01880	K03446
LFT_01881	K00354
LFT_01882	
LFT_01883	
LFT_01884	K00109,K15736
LFT_01886	K03116
LFT_01887	K00404
LFT_01888	
LFT_01889	K00455,K15777
LFT_01891	K06941
LFT_01892	K19302
LFT_01894	K22044
LFT_01896	K07090
LFT_01897	K02481
LFT_01899	K10819,K18143
LFT_01900	K08259,K21471
LFT_01902	K03977,K08591
LFT_01903	K00995,K08744
LFT_01904	K03270
LFT_01905	K03281,K06041
LFT_01906	K01627
LFT_01907	K01937
LFT_01908	K00979
LFT_01909	K03272
LFT_01910	K03100
LFT_01911	K03596
LFT_01912	
LFT_01913	K01892
LFT_01914	
LFT_01915	
LFT_01916	
LFT_01917	
LFT_01918	K10773
LFT_01919	K01338
LFT_01920	K13993
LFT_01921	K02836
LFT_01922	K03820
LFT_01925	K10747
LFT_01926	K04766
LFT_01928	K01338,K07157
LFT_01929	K06923
LFT_01930	K09705
LFT_01931	K00088
LFT_01932	K01951,K03790
LFT_01936	K01876
LFT_01937	K01915
LFT_01938	K13924
LFT_01939	K00382,K00520
LFT_01941	
LFT_01942	K13628,K15724
LFT_01945	K03624
LFT_01946	K01955
LFT_01947	K04070
LFT_01948	K01955,K01956
LFT_01949	K01465
LFT_01950	K00608,K00609
LFT_01951	K02825
LFT_01953	K19710
LFT_01954	K06925,K07102,K07452
LFT_01955	
LFT_01956	
LFT_01957	
LFT_01958	
LFT_01961	K17760
LFT_01962	K00412,K00971,K02275,K02389,K03177,K17624
LFT_01964	K11529
LFT_01965	K11529
LFT_01967	K04773
LFT_01968	K09767
LFT_01969	K01992
LFT_01970	K01990
LFT_01971	K02305
LFT_01973	
LFT_01974	
LFT_01975	K02636,K03886
LFT_01976	
LFT_01977	K00858
LFT_01978	
LFT_01979	K04744
LFT_01980	K11754
LFT_01981	K01963
LFT_01982	K01695
LFT_01983	K01696
LFT_01984	K01817,K13498
LFT_01985	K01609
LFT_01986	K00766,K13497
LFT_01987	K00766,K01658,K01664,K13497
LFT_01988	K01657
LFT_01989	
LFT_01990	K01515
LFT_01991	K08976
LFT_01994	K02574
LFT_01996	K00404
LFT_01997	K18912
LFT_01998	K02274
LFT_02000	K00404
LFT_02001	K02305
LFT_02004	K00405
LFT_02008	
LFT_02009	
LFT_02010	K00872
LFT_02011	K02823,K17828
LFT_02012	K13571,K20814
LFT_02013	K03432
LFT_02014	K03433
LFT_02016	K13571,K20814
LFT_02017	K13527
LFT_02018	K01494
LFT_02019	K01494
LFT_02020	K00768,K04719
LFT_02021	K01843
LFT_02022	
LFT_02023	
LFT_02024	K02407,K02492
LFT_02025	K01749,K13542
LFT_02026	K01719,K01749,K13542,K13543
LFT_02027	K01719,K01749,K02302,K02303,K13542,K13543
LFT_02028	K01698
LFT_02029	K07011,K11753
LFT_02030	K04075
LFT_02031	K00760,K00939
LFT_02032	K03798
LFT_02033	K00796
LFT_02034	K18672
LFT_02035	
LFT_02037	K07120
LFT_02038	
LFT_02039	
LFT_02040	K03316
LFT_02042	
LFT_02044	
LFT_02045	
LFT_02046	K03543
LFT_02048	K01669
LFT_02049	K10716
LFT_02050	K06911
LFT_02051	K07285
LFT_02056	K07505
LFT_02057	
LFT_02058	
LFT_02059	
LFT_02066	
LFT_02068	
LFT_02070	
LFT_02071	K11326
LFT_02072	K11326
LFT_02073	K07798,K15727
LFT_02074	K15725
LFT_02077	K21886,K21903,K22298
LFT_02078	K16264
LFT_02079	
LFT_02083	K07810
LFT_02085	K01533,K17686
LFT_02086	
LFT_02089	K09771
LFT_02091	
LFT_02092	
LFT_02093	
LFT_02094	
LFT_02095	K02014
LFT_02096	K03561
LFT_02097	K03559
LFT_02098	K01179,K03110,K03832,K21471
LFT_02100	
LFT_02101	
LFT_02102	K03581
LFT_02103	K03582,K16898
LFT_02104	K03583
LFT_02105	K13953,K13979
LFT_02106	
LFT_02107	
LFT_02108	K03296
LFT_02109	K18901
LFT_02111	
LFT_02112	
LFT_02115	K00334,K00335
LFT_02117	K07316
LFT_02118	K02238
LFT_02119	K03431
LFT_02120	K19587
LFT_02121	K10680
LFT_02123	
LFT_02124	
LFT_02127	K06992
LFT_02130	
LFT_02131	
LFT_02133	K05589,K12065,K13052
LFT_02134	K01689
LFT_02135	K02569,K15876
LFT_02137	K01876,K02434
LFT_02138	K02433
LFT_02139	K01579
LFT_02140	K02435
LFT_02141	K03657
LFT_02142	K03641
LFT_02143	K00820
LFT_02144	K04042,K11528,K16203
LFT_02145	
LFT_02146	K16079,K21572
LFT_02147	K01759
LFT_02148	K03741,K03892
LFT_02150	K12410
LFT_02151	
LFT_02152	K15977
LFT_02153	
LFT_02154	K01628,K08964,K08966
LFT_02155	K08964,K08966
LFT_02156	K08965
LFT_02157	K08967
LFT_02158	K03386,K20011
LFT_02159	K00428
LFT_02160	K09825
LFT_02162	K00943
LFT_02163	K02341,K02343
LFT_02164	
LFT_02165	K01874,K01890,K04566,K06878
LFT_02166	K03424
LFT_02167	
LFT_02168	K06962
LFT_02169	K03294
LFT_02173	K20276
LFT_02174	K03294
LFT_02175	K03885,K15977
LFT_02176	
LFT_02179	K00058,K03977
LFT_02180	K01007
LFT_02181	K02688
LFT_02183	K00619,K00930,K14682
LFT_02184	K03406
LFT_02185	K02169,K19104
LFT_02186	
LFT_02187	K00036
LFT_02188	K00033
LFT_02190	K11175
LFT_02191	K01933,K11788
LFT_02193	K06076
LFT_02194	K03685,K07053
LFT_02195	K09458
LFT_02196	K02078
LFT_02197	
LFT_02198	K00645,K15327,K15329,K15355,K15469
LFT_02199	K00648
LFT_02200	K03621,K21576,K21577
LFT_02201	K02911
LFT_02202	K07040
LFT_02203	K01881
LFT_02204	K03526
LFT_02205	K11749
LFT_02206	K00099
LFT_02207	K00981
LFT_02208	K00806,K14215,K21273
LFT_02209	K03765,K21008
LFT_02210	K00288,K01938
LFT_02211	K06153
LFT_02212	K03118
LFT_02213	K03116,K03117
LFT_02215	K03789,K03827
LFT_02216	K01409,K14742
LFT_02217	K04485
LFT_02219	K06966
LFT_02220	K03592
LFT_02221	K03568
LFT_02222	K21469
LFT_02223	K02291,K21679
LFT_02224	K21677
LFT_02225	K02291
LFT_02226	K01470
LFT_02227	K03496
LFT_02229	K01297
LFT_02234	K01091
LFT_02235	K07285
LFT_02236	K09942
LFT_02237	K03969
LFT_02239	
LFT_02242	
LFT_02244	
LFT_02246	K07064
LFT_02251	
LFT_02252	K07493
LFT_02253	
LFT_02254	
LFT_02255	
LFT_02257	
LFT_02258	
LFT_02260	
LFT_02261	
LFT_02263	
LFT_02264	
LFT_02265	
LFT_02268	K03616
LFT_02269	
LFT_02271	K01214
LFT_02272	K01214
LFT_02273	
LFT_02274	K03644
LFT_02275	K01834
LFT_02277	
LFT_02279	K11927
LFT_02280	K07010
LFT_02281	K01776
LFT_02282	K01207
LFT_02283	K01776,K02428
LFT_02284	K00989,K02428
LFT_02285	K07097
LFT_02286	K06022,K06158,K10834
LFT_02287	K13993
LFT_02288	K06178,K06181,K06182,K06183
LFT_02289	K08306,K08308,K08309
LFT_02291	K06885
LFT_02295	K03469,K06864,K22316
LFT_02296	K07164
LFT_02298	K03086
LFT_02299	K03086
LFT_02300	K02316
LFT_02301	K09117
LFT_02302	K02970
LFT_02303	K03530
LFT_02304	K02503
LFT_02305	K01496,K01497,K01814,K11755
LFT_02306	K02500
LFT_02307	K01814,K01817,K11755
LFT_02308	K01663,K02501
LFT_02309	K00013,K00817,K01089,K01693
LFT_02310	K00817
LFT_02311	K00013,K15509
LFT_02312	K00765,K02502
LFT_02313	K00790
LFT_02314	K00543,K02493,K15256
LFT_02315	K02835
LFT_02316	K02909
LFT_02317	K02887,K03628
LFT_02318	
LFT_02319	
LFT_02321	
LFT_02322	K01086,K03841
LFT_02324	K00128,K00131
LFT_02326	K03465
LFT_02327	K02039
LFT_02328	K02036
LFT_02329	K02038
LFT_02330	K02037,K02038
LFT_02332	K02040
LFT_02334	
LFT_02335	
LFT_02336	
LFT_02337	K01939
LFT_02338	
LFT_02339	
LFT_02340	K03688
LFT_02341	K03630
LFT_02342	K01096,K01491,K12977,K19302
LFT_02343	
LFT_02344	K05889,K17713
LFT_02346	K05365,K05366
LFT_02348	K01179,K20542
LFT_02349	K20541
LFT_02350	K00694
LFT_02351	
LFT_02352	K00694
LFT_02353	
LFT_02354	K02498,K20543
LFT_02355	
LFT_02356	K04752
LFT_02357	K09822
LFT_02358	K00342
LFT_02359	K00341
LFT_02360	K02584,K11914,K12146,K12266,K15836
LFT_02361	K02416
LFT_02362	K02005,K13888
LFT_02363	K02004,K05685
LFT_02364	K02003
LFT_02365	K01507
LFT_02368	K02014
LFT_02370	
LFT_02371	K06320
LFT_02372	K02517,K02843
LFT_02373	K02169
LFT_02374	
LFT_02376	K02422
LFT_02377	K02407
LFT_02378	K02406
LFT_02379	K13626
LFT_02380	K03563
LFT_02381	K02397
LFT_02382	K02396
LFT_02384	K02398
LFT_02385	K02406
LFT_02386	K02395,K08309
LFT_02387	K02394
LFT_02389	K02279,K02386
LFT_02390	K02392
LFT_02391	K02391,K02392
LFT_02392	K02391,K02392
LFT_02393	
LFT_02394	K00215,K03546
LFT_02395	K01714
LFT_02397	K01586,K05366
LFT_02398	K01755
LFT_02399	K01940
LFT_02400	K00611
LFT_02401	K00821
LFT_02402	K05844,K10716
LFT_02403	
LFT_02406	K03179
LFT_02408	
LFT_02410	K03183
LFT_02412	K01524
LFT_02413	K00560,K00943,K01585
LFT_02414	K00943,K01585
LFT_02416	K00568,K01808
LFT_02417	K00600
LFT_02418	K07738
LFT_02419	K04066
LFT_02420	
LFT_02421	K10960
LFT_02422	K06196
LFT_02423	K00384
LFT_02424	
LFT_02425	
LFT_02426	K07399
LFT_02427	K02067
LFT_02428	K02065,K02067
LFT_02429	K02066
LFT_02430	K01775,K01929
LFT_02431	K02838
LFT_02432	K09903
LFT_02433	K02357
LFT_02434	K02967
LFT_02435	K00620,K00930
LFT_02436	K00145
LFT_02437	K02996
LFT_02438	K02871
LFT_02439	
LFT_02440	K03522,K05337
LFT_02442	K00796,K01633,K13940
LFT_02443	
LFT_02444	K08301
LFT_02445	K05837
LFT_02446	K05515
LFT_02448	K03570
LFT_02449	K03569
LFT_02450	
LFT_02451	K01783
LFT_02452	K03799
LFT_02453	K00604,K03500
LFT_02454	K01462
LFT_02456	K06999
LFT_02457	K06888
LFT_02460	K00384
LFT_02461	K12340
LFT_02462	K03585
LFT_02463	K07712
LFT_02464	K00605,K06980
LFT_02465	
LFT_02466	K03585
LFT_02467	K03406,K16149
LFT_02468	K01624
LFT_02469	K00965
LFT_02470	K22451
LFT_02471	K22451
LFT_02472	
LFT_02473	K00975
LFT_02475	K00363,K05710
LFT_02476	
LFT_02477	K01262,K01271
LFT_02479	K07798,K15727
LFT_02480	K03296
LFT_02482	K03530
LFT_02483	K02282,K02482,K03557
LFT_02484	K03694,K03695
LFT_02486	K03686,K05516
LFT_02487	K00239,K00244,K00278
LFT_02489	K01885,K09698
LFT_02490	
LFT_02492	K02040
LFT_02494	K00171,K00172,K02573,K13795,K18930
LFT_02495	K00172
LFT_02496	K00170
LFT_02497	K00169
LFT_02498	
LFT_02499	K00171,K00172,K02573,K13795,K18930
LFT_02500	K00172
LFT_02501	K00170
LFT_02502	K00169
LFT_02503	
LFT_02505	K01845
LFT_02506	K03271
LFT_02507	K03272
LFT_02508	K03723
LFT_02509	K01802,K03769,K07533,K20074
LFT_02510	K03769
LFT_02511	K02597,K03769,K03771
LFT_02512	K03978
LFT_02513	K07106,K09001
LFT_02514	K00966,K00973,K00992
LFT_02515	K07102
LFT_02516	
LFT_02517	K10563
LFT_02520	K01870
LFT_02521	K03101
LFT_02522	
LFT_02523	K06180
LFT_02524	
LFT_02525	K00805,K02523
LFT_02527	
LFT_02528	K01092
LFT_02530	K01595
LFT_02531	K01595
LFT_02532	K01595
LFT_02533	K01595
LFT_02535	K02535,K16363
LFT_02537	K03617,K08999
LFT_02538	K04755
LFT_02539	K04085
LFT_02541	K03685
LFT_02542	K02342
LFT_02543	K00566
LFT_02544	
LFT_02545	K03497
LFT_02546	K03496
LFT_02547	K03501
LFT_02548	K03495
LFT_02549	K03650
LFT_02550	K03217
LFT_02551	K02939
LFT_02552	
LFT_02553	
LFT_02554	K03282
LFT_02555	K07043
LFT_02556	K02006,K02188
LFT_02557	K00595,K13541
LFT_02558	K00595
LFT_02559	K02189,K05934,K05936,K13541
LFT_02560	K02016,K05934,K05936,K13541,K21479
LFT_02561	K02232,K19221
LFT_02562	K01462
LFT_02563	K01591
LFT_02564	K02687
LFT_02565	
LFT_02566	
LFT_02568	
LFT_02569	K02040
LFT_02571	K01601,K08965
LFT_02572	K04034
LFT_02574	K20543
LFT_02575	
LFT_02577	K11210
LFT_02578	K02040
LFT_02579	
LFT_02581	K03517
LFT_02582	K00133
LFT_02583	K00052
LFT_02584	K01649
LFT_02585	K17103
LFT_02586	K01613
LFT_02587	K00053
LFT_02588	K01652
